Date,Close,Volume,Open,High,Low
6/25/2020,364.84,34380630.00,360.70,365.00,357.57
6/24/2020,360.06,48155850.00,365.00,368.79,358.52
6/23/2020,366.53,53038870.00,364.00,372.38,362.27
6/22/2020,358.87,33861320.00,351.34,359.46,351.15
6/19/2020,349.72,66118950.00,354.64,356.56,345.15
6/18/2020,351.73,24205100.00,351.41,353.45,349.22
6/17/2020,351.59,28601630.00,355.15,355.40,351.09
6/16/2020,352.08,41357180.00,351.46,353.20,344.72
6/15/2020,342.99,34702230.00,333.25,345.68,332.58
6/12/2020,338.80,50036510.00,344.72,347.80,334.22
6/11/2020,335.90,50415610.00,349.31,351.06,335.48
6/10/2020,352.84,41662940.00,347.90,354.77,346.09
6/9/2020,343.99,36928090.00,332.14,345.61,332.01
6/8/2020,333.46,23913630.00,330.25,333.60,327.32
6/5/2020,331.50,34312550.00,323.35,331.75,323.23
6/4/2020,322.32,21890090.00,324.39,325.62,320.78
6/3/2020,325.12,26122800.00,324.66,326.20,322.30
6/2/2020,323.34,21910700.00,320.75,323.44,318.93
6/1/2020,321.85,20254650.00,317.75,322.35,317.21
5/29/2020,317.94,38399530.00,319.25,321.15,316.47
5/28/2020,318.25,33449100.00,316.77,323.44,315.63
5/27/2020,318.11,28236270.00,316.14,318.71,313.09
5/26/2020,316.73,31380450.00,323.50,324.24,316.50
5/22/2020,318.89,20450750.00,315.77,319.23,315.35
5/21/2020,316.85,25672210.00,318.66,320.89,315.87
5/20/2020,319.23,27876220.00,316.68,319.52,316.20
5/19/2020,313.14,25432390.00,315.03,318.52,313.01
5/18/2020,314.96,33843130.00,313.17,316.50,310.32
5/15/2020,307.71,41587090.00,300.35,307.90,300.21
5/14/2020,309.54,39732270.00,304.51,309.79,301.53
5/13/2020,307.65,50155640.00,312.15,315.95,303.21
5/12/2020,311.41,40575260.00,317.83,319.69,310.91
5/11/2020,315.01,36486560.00,308.10,317.05,307.24
5/8/2020,310.13,33511990.00,305.64,310.35,304.29
5/7/2020,303.74,28803760.00,303.22,305.17,301.97
5/6/2020,300.63,35583440.00,300.46,303.24,298.87
5/5/2020,297.56,36937800.00,295.06,301.00,294.46
5/4/2020,293.16,33391990.00,289.17,293.69,286.32
5/1/2020,289.07,60154180.00,286.25,299.00,285.85
4/30/2020,293.80,45765970.00,289.96,294.53,288.35
4/29/2020,287.73,34320200.00,284.73,289.67,283.89
4/28/2020,278.58,28001190.00,285.08,285.83,278.20
4/27/2020,283.17,29271890.00,281.80,284.54,279.95
4/24/2020,282.97,31627180.00,277.20,283.01,277.00
4/23/2020,275.03,31203580.00,275.87,281.75,274.87
4/22/2020,276.10,29264340.00,273.61,277.90,272.20
4/21/2020,268.37,45247890.00,276.28,277.25,265.43
4/20/2020,276.93,32503750.00,277.95,281.68,276.85
4/17/2020,282.80,53812480.00,284.69,286.95,276.86
4/16/2020,286.69,39281290.00,287.38,288.20,282.35
4/15/2020,284.43,32788640.00,282.40,286.33,280.63
4/14/2020,287.05,48748670.00,280.00,288.25,278.05
4/13/2020,273.25,32755730.00,268.31,273.70,265.83
4/9/2020,267.99,40529120.00,268.70,270.07,264.70
4/8/2020,266.07,42223820.00,262.74,267.37,261.23
4/7/2020,259.43,50721830.00,270.80,271.70,259.00
4/6/2020,262.47,50455070.00,250.90,263.11,249.38
4/3/2020,241.41,32470020.00,242.80,245.70,238.97
4/2/2020,244.93,41483490.00,240.34,245.15,236.90
4/1/2020,240.91,44054640.00,246.50,248.72,239.13
3/31/2020,254.29,49250500.00,255.60,262.49,252.00
3/30/2020,254.81,41994110.00,250.74,255.52,249.40
3/27/2020,247.74,51054150.00,252.75,255.87,247.05
3/26/2020,258.44,63140170.00,246.52,258.68,246.36
3/25/2020,245.52,75900510.00,250.75,258.25,244.30
3/24/2020,246.88,71882770.00,236.36,247.69,234.30
3/23/2020,224.37,84188210.00,228.08,228.50,212.61
3/20/2020,229.24,100423300.00,247.18,251.83,228.00
3/19/2020,244.78,67964260.00,247.39,252.84,242.61
3/18/2020,246.67,75058410.00,239.77,250.00,237.12
3/17/2020,252.86,81013970.00,247.51,257.61,238.40
3/16/2020,242.21,80605870.00,241.95,259.08,240.00
3/13/2020,277.97,92683030.00,264.89,279.92,252.95
3/12/2020,248.23,104618500.00,255.94,270.00,248.00
3/11/2020,275.43,64094970.00,277.39,281.22,271.86
3/10/2020,285.34,71322520.00,277.14,286.44,269.37
3/9/2020,266.17,71686210.00,263.75,278.09,263.00
3/6/2020,289.03,56544250.00,282.00,290.82,281.23
3/5/2020,292.92,46893220.00,295.52,299.55,291.41
3/4/2020,302.74,54794570.00,296.44,303.40,293.13
3/3/2020,289.32,79868850.00,303.67,304.00,285.80
3/2/2020,298.81,85349340.00,282.28,301.44,277.72
2/28/2020,273.36,106721200.00,257.26,278.41,256.37
2/27/2020,273.52,80151380.00,281.10,286.00,272.96
2/26/2020,292.65,49678430.00,286.53,297.88,286.50
2/25/2020,288.08,57668360.00,300.95,302.53,286.13
2/24/2020,298.18,55548830.00,297.26,304.18,289.23
2/21/2020,313.05,32426420.00,318.62,320.45,310.50
2/20/2020,320.30,25141490.00,322.63,324.65,318.21
2/19/2020,323.62,23495990.00,320.00,324.57,320.00
2/18/2020,319.00,38190550.00,315.36,319.75,314.61
2/14/2020,324.95,20028450.00,324.74,325.98,322.85
2/13/2020,324.87,23686890.00,324.19,326.22,323.35
2/12/2020,327.20,28432570.00,321.47,327.22,321.47
2/11/2020,319.61,23580780.00,323.60,323.90,318.71
2/10/2020,321.55,27337220.00,314.18,321.55,313.85
2/7/2020,320.03,29421010.00,322.37,323.40,318.00
2/6/2020,325.21,26356390.00,322.57,325.22,320.26
2/5/2020,321.45,29706720.00,323.52,324.76,318.95
2/4/2020,318.85,34154130.00,315.31,319.64,313.63
2/3/2020,308.66,43496400.00,304.30,313.49,302.22
1/31/2020,309.51,49897100.00,320.93,322.68,308.29
1/30/2020,323.87,31685810.00,320.54,324.09,318.75
1/29/2020,324.34,54149930.00,324.45,327.85,321.38
1/28/2020,317.69,40558490.00,312.60,318.40,312.19
1/27/2020,308.95,40485010.00,310.06,311.77,304.88
1/24/2020,318.31,36634380.00,320.25,323.33,317.52
1/23/2020,319.23,26117990.00,317.92,319.56,315.65
1/22/2020,317.70,25458120.00,318.58,319.99,317.31
1/21/2020,316.57,27710810.00,317.19,319.02,316.00
1/17/2020,318.73,34454120.00,316.27,318.74,315.00
1/16/2020,315.24,27207250.00,313.59,315.70,312.09
1/15/2020,311.34,30480880.00,311.85,315.50,309.55
1/14/2020,312.68,40653460.00,316.70,317.57,312.17
1/13/2020,316.96,30521720.00,311.64,317.07,311.15
1/10/2020,310.33,35217270.00,310.60,312.67,308.25
1/9/2020,309.63,42621540.00,307.24,310.43,306.20
1/8/2020,303.19,33090950.00,297.16,304.44,297.16
1/7/2020,298.39,27877660.00,299.84,300.90,297.48
1/6/2020,299.80,29644640.00,293.79,299.96,292.75
1/3/2020,297.43,36633880.00,297.15,300.58,296.50
1/2/2020,300.35,33911860.00,296.24,300.60,295.19
12/31/2019,293.65,25247630.00,289.93,293.68,289.52
12/30/2019,291.52,36059610.00,289.46,292.69,285.22
12/27/2019,289.80,36592940.00,291.12,293.97,288.12
12/26/2019,289.91,23334000.00,284.82,289.98,284.70
